run_id	metric	predicted_value	predicted_direction	confidence	actual_value	signal	status	description
poc-sigma	sigma_correct_classes	6/7	beat-baseline	medium	7/7	confirm	keep	38 refshift tests encode documented Excel insert/delete semantics; all pass
poc-sigma	theory_gate	pass	match-baseline	low	fail-then-fixed	disconfirm	keep	gate FAILED orig algebra 3 counts; corrected C1-C9
poc-minpatch	minimal_patch_holds	true	match-baseline	medium	true	confirm	keep	end-to-end insert-row: reopens+recomputes in IronCalc (SUM=55, cross-sheet=55) AND styles/theme/sharedStrings byte-identical, all ref classes shifted
build	structural_tests	pass	match-baseline	high	10/10	confirm	keep	structural.rs incl. e2e recompute + minimal-patch + residual detection
e-struct	correctness_xlq	6/6	beat-baseline	high	6/6	confirm	keep	xlq shifts all 6 ref classes correctly (SUM grow, abs, cross-sheet, defined-name, chart)
e-struct	correctness_openpyxl	0/6	match-literature	high	0/6	confirm	keep	openpyxl insert_rows shifts 0 refs -> silently wrong (=B5*2 reads blank row)
e-struct	minimal_patch	true	match-baseline	high	true	confirm	keep	xlq changed 4 ref-bearing parts only; non-sheet parts digit-stripped-identical (coord-only)
e-struct	libreoffice_fidelity	0/14	match-literature	medium	0/14	confirm	keep	LO round-trip rewrites all 14 parts (fidelity destroyed before any edit)
adv-review	confirmed_defects	unknown	unclear	low	9	disconfirm	keep	28-agent adversarial review found 9 real defects (whole-column FATAL, CF/DV bodies, tables, 3D-interior); all fixed
adv-review	invariant_restored	true	beat-baseline	high	true	confirm	keep	never-silently-wrong restored: every construct shifted-correctly OR refused; 184 tests
e-struct	recompute_executed	760	match-baseline	high	760	confirm	keep	xlq calc on committed file recomputes SUM=760 (executed not asserted)
corpus	safe_envelope	unknown	unclear	low	22.5%	confirm	keep	231 real IronCalc files: 22.5% safely edited, 77.5% refused (140 shared, 47 array, 2 table) — never silently wrong
corpus	silent_corruption	0	beat-baseline	high	0	confirm	keep	zero of 231 real files silently corrupted (every file shifted-correctly OR refused)
shared-expansion	safe_envelope	85%	beat-baseline	medium	78.8%	confirm	keep	shared-formula expansion lifted safe envelope 22.5%->78.8% on 231 real files
shared-expansion	roundtrip_correct	100%	beat-baseline	high	182/182	confirm	keep	insert@2+delete@2 preserves every Excel cached value cell-for-cell (engine-free), 0 mismatch
finding	libreoffice_shared_bug	unknown	unclear	low	confirmed	confirm	keep	LibreOffice mis-reconstructs shared formulas vs Excel; xlq expansion matches Excel's cache
